Время, сек;Rz_L, Н;Rz_R, Н;Rx, Н
4,85;20544,3;22040,2;650
4,86;20470,7;22590,1;650
4,87;20533,6;22316,6;650
4,88;20648,8;21785,6;650
4,89;20644,7;21845;650
4,9;20547,1;22299,6;650
4,91;20511,9;22582,5;650
4,92;20586,7;22239,2;650
4,93;20661,5;21860;650
4,94;20641,8;21983,9;650
4,95;20568,6;22384,2;650
4,96;20546,5;22527,5;650
4,97;20625,9;22183,4;650
4,98;20690,1;21884,5;650
4,99;20655,7;22003,3;650
5;20606,5;22332,5;650
5,01;20600,5;22378,3;650
5,02;20650,7;22060,9;650
5,03;20695,1;21896,2;650
5,04;20675,4;21966,1;650
5,05;20663,1;22183,9;650
5,06;20648,9;22157,5;650
5,07;20692,4;21993,1;650
5,08;20697,4;21810,3;650
5,09;20696,3;21983,3;650
5,1;20696,7;22032;650
5,11;20716,7;21911,2;650
5,12;20726;21797,8;650
5,13;20742;21861,1;650
5,14;20744,7;21894,1;650
5,15;20758,2;21833;650
5,16;20765,5;21802,1;650
5,17;20774,5;21785,8;650
5,18;20795,9;21775,5;650
5,19;20808,1;21759,1;650
5,2;20818,1;21719,3;650
5,21;20832,6;21715,6;650
5,22;20853,7;21705,4;650
5,23;20874,7;21700;650
5,24;20883,3;21671,1;650
5,25;20889,7;21635,5;650
5,26;20912,6;21645;650
5,27;20936,9;21644,8;650
5,28;20949,7;21620,2;650
5,29;20962,9;21603,9;650
5,3;20982;21605,9;650
5,31;21014,1;21592,5;650
5,32;21027,5;21552,7;650
5,33;21042,2;21586,7;650
5,34;21079,1;21540,3;650
5,35;21074,1;21539,5;650
5,36;21114,3;21495,7;650
5,37;21131,7;21507,1;650
5,38;21138,7;21514,5;650
5,39;21181,5;21473;650
5,4;21200,6;21459,1;650
5,41;21203,4;21455;650
5,42;21219,6;21438,7;650
5,43;21272,2;21411,6;650
5,44;21300,5;21417,1;650
5,45;21284,6;21402;650
5,46;21307,7;21378,9;650
5,47;21365,7;21366;650
5,48;21396,8;21355,8;650
5,49;21395,7;21358,7;650
5,5;21364,3;21265,2;650
5,51;21478,2;21378,2;650
5,52;21432;21250;650
5,53;21500,3;21309,9;650
5,54;21500,8;21265;650
5,55;21511,5;21213,4;650
5,56;21545,2;21246;650
5,57;21560,2;21219,7;650
5,58;21595,5;21206,9;650
5,59;21604,5;21178,8;650
5,6;21624,2;21169,8;650
5,61;21645,4;21150,5;650
5,62;21671;21132,8;650
5,63;21693,2;21127,1;650
5,64;21706,9;21108,4;650
5,65;21714,5;21077,7;650
5,66;21735,5;21066,8;650
5,67;21750,8;21045,5;650
5,68;21776,4;21036,9;650
5,69;21805,5;21007,6;650
5,7;21821,8;20994,7;650
5,71;21840,6;20974,6;650
5,72;21849,3;20954;650
5,73;21860,1;20932,4;650
5,74;21883,4;20911,4;650
5,75;21884,8;20894,7;650
5,76;21926,9;20885,2;650
5,77;21912,1;20865,7;650
5,78;21945,1;20850,4;650
5,79;21955,6;20842,9;650
5,8;21954,5;20825,6;650
5,81;21951,4;20803,8;650
5,82;21962,9;20794,8;650
5,83;21970,5;20772,2;650
5,84;21988,3;20768,8;650
5,85;21983;20768,3;650
5,86;21964,5;20737,9;650
5,87;21973,9;20728,5;650
5,88;21938,2;20729,6;650
5,89;21927;20711,8;650
5,9;21951,9;20688,4;650
5,91;21944,4;20710,7;650
5,92;21913,5;20687,5;650
5,93;21914,1;20677;650
5,94;21811,7;20702,1;650
5,95;21745,7;20653,4;650
5,96;22033,9;20606;650
5,97;21983,2;20618,3;650
5,98;21625,5;20648,3;650
5,99;21715,1;20682;650
